"Nazwa instytucji","Nazwa systemu AI","Przeznaczenie systemu
Krótko, np. rozpoznawanie twarzy","Opis systemu
Do czego ogólnie cały system służy, jak działa, jakie procesy wspiera?","Użycie sztucznej inteligencji 
Do czego w tym systemie i we wspieranych przez system procesach są używane komponenty oparte na sztucznej inteligencji?","Kwalifikacja ryzyka
Czy przeprowadzono kwalifikację ryzyka w odniesieniu do poziomów określonych w AI Act  - minimalne/ograniczone/wysokie/niedopuszczalne? Wybierz właściwą odpowiedź.","Ocena skutków dla ochrony danych (DPIA)
Czy przeprowadzono ocenę skutków dla ochrony danych (DPIA), wynikającą z przepisów RODO? Jeśli odpowiedź brzmi tak, to wnosimy o udostępnienie publicznego linku.","Ocena skutków dla praw podstawowych (FRIA)
Czy przeprowadzono ocenę skutków dla praw podstawowych (FRIA)? Jeśli odpowiedź brzmi tak, to wnosimy o udostępnienie publicznego linku. Zdajemy sobie sprawę, że oficjalny unijny kwestionariusz nie został jeszcze ogłoszony, jednak być może skorzystali Państwo z nieoficjalnych lub zastosowali własną metodę.","Podręcznik użytkownika / instrukcja
Czy użytkownicy systemu dysponują jakimś rodzajem podręcznika lub instrukcji? Jeśli tak, to wnosimy o podanie linku lub linków do publicznego zasobu z tego typu dokumentami.","Publiczna wiedza o systemie
Czy wedle wiedzy organu w publicznych zasobach internetu dostępne są jakiekolwiek wzmianki, opisy, dokumenty związane z systemem inne, niż wskazane w poprzednich pytaniach? Jeśli tak, to wnosimy o podanie linków.","Modele ogólnego przeznaczenia (GPAI)
Czy system korzysta z modeli AI ogólnego przeznaczenia? Jeśli tak, to wnosimy o wyliczenie nazw modeli i ich producentów.","Dostawca systemu","Koszty wytworzenia i wdrożenia
Całkowite łączne koszty brutto ponoszone po stronie organu","Koszty utrzymania
Koszty brutto ponoszone po stronie organu w ujęciu rocznym","Początek obowiązywania licencji","Koniec obowiązywania licencji"
"Komenda Wojewódzka Policji w Białymstoku","ANPR","Automatyczny system rozpoznawania tablic rejestracyjnych pojazdów.","Celem przetwarzania danych w systemie ""ANPR"" jest rozpoznawanie,
zapobieganie, wykrywanie i zwalczanie czynów zabronionych, w tym
zagrożeń dla bezpieczeństwa i porządku publicznego. W ramach systemu
""ANPR"" przetwarzane są dane w postaci numerów rejestracyjnych pojazdów.","System ""ANPR"" nie wykorzystuje sztucznej inteligencji.","Nie przeprowadzono","Nie","Nie, z innych powodów.","System ANPR posiada dokumentację użytkową, do której dostęp mają tylko i wyłącznie uprawnione osoby. Do przedmiotowej dokumentacji nie ma dostępu poprzez publiczną sieć Internet.","W publicznych zasobach sieci Internet publikowane były jedynie dokumenty związane z postępowaniem o udzielenie zamówienia publicznego, na podstawie którego przedmiotowy system został zakupiony.","Nie","KONWERGA Sp.z.o.o, 61-070 Poznań, ul. Janikowska 21.","Wartość umowy: - 701 486,22 zł","25 000 zł.","02.01.2022 r.","licencja bezterminowa"
"Komenda Wojewódzka Policji w Szczecinie","Cellebrite Physical Analyzer - funkcjonalność Media Classification","Automatyczne kategoryzowanie oraz analiza zdjęć i nagrań wideo w celu wsparcia procesów dochodzeniowych w ramach analizy urządzeń cyfrowych.","System umożliwia automatyczną identyfikację i klasyfikację obrazów i plików wideo według zawartości (np. twarze, pojazdy, broń, dokumenty) przy użyciu metod uczenia maszynowego. Wspiera szybkie wyszukiwanie istotnych dowodów w dużych zbiorach danych z urządzeń cyfrowych. Wyniki klasyfikacji prezentują ilości i rodzaje sklasyfikowanych obiektów. Możliwy jest wybór kategorii i przeglądanie zidentyfikowanych elementów według typu.","Komponenty AI są używane do automatycznej analizy i kategoryzowania zawartości mediów (obrazy, wideo) na podstawie określonych kategorii. System wykorzystuje algorytmy uczenia maszynowego do rozpoznawania m.in. twarzy, samochodów, broni, dokumentów, pieniędzy, itp. oraz do oznaczania kluczowych ramek w plikach wideo. Użytkownik może filtrować i wyszukiwać wyniki po wybranych kategoriach.","Nie przeprowadzono","Nie","Nie, ponieważ nie ogłoszono jeszcze kwestionariusza.","Nie","Tak, w internecie dostępne są oficjalne opisy i materiały związane z systemem, np.: https://cellebrite.com/en/how-to-use-media-classification-in-cellebrite-physical-analyzer-part-2/","Nie ma publicznych informacji o używaniu ogólnych modeli AI (GPAI, np. LLMs). System bazuje na własnych/zaimplementowanych modelach uczenia maszynowego wbudowanych przez producenta Cellebrite.","Cellebrite","Informuje, że dla Laboratorium Kryminalistycznego KWP w Szczecinie został zakupiony 19.09.2017 r. od firmy ForSec sp. z oo. zestaw do badania urządzeń mobilnych UFED 4PC Ultimate za kwotę 48 999,99 zł. Po wygaśnięciu wsparcia licencji dnia 29.10.2019 r. zakupiono dwuletnią aktualizację oprogramowania ww. firmie za kwotę 38 745 zł.  Natomiast 05.11.2019 r. otrzymano w ramach centralnego zaopatrzenia z KGP oprogramowanie UFED (wersja podstawowa) do stanowisk informatyki śledczej dla LK w kwocie 88 223,88 zł. Dnia 08.12.2020 r. realizując projekt unijny „Korelacja identyfikacji i zwalczania transgranicznych powiązań terrorystycznych w obszarze badań genetycznych i informatycznych” zakupiono rozbudowę UFED do wyższej wersji i przedłużenie licencji o kolejne 2 lata za kwotę 37 400 zł. ","Komenda Wojewódzka Policji w Szczecinie nie ponosi na bieżąco kosztów utrzymania ww oprogramowań.","19.09.2017 r.","01.08.2029 r. "
"Urząd Miasta Krakowa","Pilotażowy monitoringu typu obiektów na wskazanym obszarze dla Urzędu Miasta Krakowa (monitoring obiektów typu osoba na obszarze kąpieliska Zakrzówek).","Automatyczne monitorowanie liczby i zagęszczenia osób w kluczowych punktach kąpieliska","System służy do automatycznego monitorowania liczby i zagęszczenia osób w kluczowych punktach kąpieliska dzięki czemu może w przyszłości posłużyć zapewnieniu bezpieczeństwa i ułatwieniu zarządzania przepływem gości, a docelowo także informowania samych mieszkańców o dostępności miejsc.","Elementy sztucznej inteligencji są wykorzystywane do identyfikacji obiektów typu osoba/człowiek wchodzący na kąpielisko/opuszczający kąpielisko.","Nie przeprowadzono","Nie przeprowadzono, narzędzie nie przetwarza i nie interpretuje się danych osobowych","Nie, z innych powodów.","Dokumentacja techniczna oraz instrukcje użytkowania przekazana zamawiającemu w ramach procesu wdrożenia. Nie są one udostępniane w publicznych zasobach."," https://www.krakow.pl/wybrane_teksty/282629,1897,komunikat,krakow__miasto_inteligentne.html"," Tak, system korzysta z bibliotek Ultralytics YOLO (licencjonowane na zasadach AGPL)","EXARTO/ORACLE","49 200 zł "," 86 961 zł"," Data uruchomienia licencji: 09.09.2024 r."," Licencja została udzielona na czas nieoznaczony."
"Urząd Miasta Krakowa","Microsoft 365 Copilot","Wspomaganie pracy biurowej poprzez generowanie treści, podpowiedzi, streszczenia, tłumaczenia i analiz. ","To system oparty na sztucznej inteligencji, zintegrowany z aplikacjami Microsoft 365 (Word, Excel, Outlook, Teams itd.). Umożliwia użytkownikom automatyczne tworzenie dokumentów, analizę danych, redagowanie wiadomości e-mail, podsumowywanie spotkań oraz wspieranie komunikacji zespołowej. Działa w oparciu o modele językowe, które przetwarzają dane użytkownika w czasie rzeczywistym, wspierając procesy biznesowe i zwiększając efektywność pracy.","System wykorzystuje komponenty AI do:
- generowania tekstu (np. dokumentów, e-maili),
- streszczania i podsumowania treści (np. spotkań, wiadomości),
- analizy danych (np. w Excelu),
- tłumaczenia językowego","Ryzyko ograniczone","Przeprowadzona przez Microsoft - https://wwps.microsoft.com/content/o365-impact-assessment","Nie, z innych powodów.","https://www.microsoft.com/pl-pl/microsoft-365-copilot"," https://blogs.microsoft.com/blog/2023/03/16/introducing-microsoft-365-copilot","Tak, system korzysta z modeli ogólnego przeznaczenia: - GPT-5 od OpenAI - Microsoft Prometheus (model hybrydowy oparty na GPT-4 z dodatkowymi warstwami bezpieczeństwa i personalizacji)","Microsoft","nie dotyczy","63 258,90 zł","Data uruchomienia licencji: 30.05.2025 r."," Data zakończenia licencji: 30.05.2026 r."
"Urząd Miasta Krakowa","eXtracToolbox","Ekstrakcja informacji z dokumentów skanowanych.","System eXtracToolbox to zestaw narzędzi służący do odczytywania, wydobywania i wykorzystywania informacji z zeskanowanych dokumentów, takich jak akty notarialne. Wykorzystuje algorytmy sztucznej inteligencji do odnajdywania danych w złożonych dokumentach. System wspiera procesy związane z wprowadzaniem danych do systemu dziedzinowego Wydziału Geodezji Urzędu Miasta Krakowa (Bazy PZGiK - EGiB).","Komponenty oparte na sztucznej inteligencji są wykorzystywane do automatycznego odnajdywania, rozpoznawania i wydobywania kluczowych informacji z treści nieustrukturyzowanej, zawartej w skanach dokumentów. Technologia AI potrafi identyfikować i ""rozumieć"" dane (np. sygnatury, dane osobowe, numery ksiąg wieczystych, kwoty transakcji) oraz rozpoznawać zależności między nimi (np. wskazanie nabywcy i zbywcy).","Ryzyko minimalne","System eXtracToolbox jest wdrażany i uruchamiany bezpośrednio w infrastrukturze IT (on-premise). Oznacza to, że działa on pod pełną kontrolą techniczną i organizacyjną IT. Wszelkie dane przetwarzane przez system, w tym dane osobowe, nie opuszczają bezpiecznego środowiska klienta i podlegają jego wewnętrznym mechanizmom ochrony oraz politykom bezpieczeństwa.  W związku z tym, ocena wpływu na ochronę danych osobowych stanowi część całościowej analizy bezpieczeństwa, którą IT, jako administrator systemu i danych, przeprowadza dla swojej infrastruktury,  oraz dla uruchomionych w niej usług.","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Dokumentacja techniczna oraz instrukcje użytkowania przekazana zamawiającemu w ramach procesu wdrożenia i szkolenia. Nie są one udostępniane w publicznych zasobach."," https://www.wizipisi.ai/extractoolbox","System bazuje na dedykowanych komponentach i modelach AI, które zostały opracowane przez Wrocławski Instytut Zastosowań Informacji Przestrzennej i Sztucznej Inteligencji sp. z o.o. w ramach wewnętrznych projektów badawczo-rozwojowych i zaimplementowane do systemu dziedzinowego przez Systherm Info.  ","Sytherm info we współpracy z Wrocławskim Instytutem Zastosowań Informacji Przestrzennej i Sztucznej Inteligencji sp. z o.o.","330 870 zł","Organ nie jest w stanie określić kosztów utrzymania samego narzędzia dotyczącego OCR, gdyż jest ono wliczane do całości Zintegrowanego Systemu Obsługi Zasobu. Koszt asysty technicznej na system ZSOZ ECO na 2025 wynosi 1150 000 zł . "," Data uruchomienia licencji: 10.12.2019 r."," Licencja została udzielona na czas nieoznaczony."
"Urząd Gminy Lipnica Wielka","1) LEX Kompas Orzeczniczy 2.0.,   2) LEX Kompas Interpretacje Podatkowe,","Żaden z wyżej wymienionych modułów nie jest systemem sztucznej inteligencji w rozumieniu przepisów rozporządzenia Parlamentu Europejskiego i Rady (UE) 2024/1689 z dnia 13 czerwca 2024 r. tzw. Aktu w sprawie sztucznej inteligencji. Użytkownik LEX Kompasu Orzeczniczego 2.0. korzysta z funkcjonalności opartych o mechanizmy uczenia maszynowego, które nie są ww. systemem w powyższym rozumieniu.","System służy do wyszukiwania w aktach prawnych danych do podjęcia decyzji w trudnych sprawach. Wskazuje na rozstrzygnięcia prawne i sądowe w tożsamych lub podobnych sprawach.
Żaden z wyżej wymienionych modułów nie jest systemem sztucznej inteligencji w rozumieniu przepisów rozporządzenia Parlamentu Europejskiego i Rady (UE) 2024/1689 z dnia 13 czerwca 2024 r. tzw. Aktu w sprawie sztucznej inteligencji. Użytkownik LEX Kompasu Orzeczniczego 2.0. korzysta z funkcjonalności opartych o mechanizmy uczenia maszynowego, które nie są ww. systemem w powyższym rozumieniu, choć my - według przyjętej powszechnie w obrocie nomenklatury - określamy je mianem sztucznej inteligencji. Z kolei użytkownik LEX Kompasu Interpretacji Podatkowych korzysta z podsumowań i streszczeń wytworzonych przez model ogólnego przeznaczenia (system AI), jednak nie pracuje bezpośrednio z takim systemem, ponieważ LEX go nie zawiera. 

Tym samym  należy wskazać, że LEX nie jest systemem sztucznej inteligencji i nie zawiera systemów sztucznej inteligencji w rozumieniu Aktu ws. sztucznej inteligencji.","LEX Kompas Orzeczniczy 2.0., którego niektóre funkcje oparte zostały o mechanizmy uczenia maszynowego. W przypadku LEX Kompas Interpretacje Podatkowe, którego zawartość zawiera podsumowania i streszczenia opracowane przez Wolters Kluwer Polska przy pomocy modelu ogólnego przeznaczenia. ","Nie przeprowadzono","Stosownej analizy dokonuje dostawca usługi, jednak w systemie nie występują dane osobowe","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","System instrukcji i filmików instruktażowych wbudowany jest w system prawny LEX.","Organ nie posiada informacji","Odpowiedzi udzielono powyżej","Wokters Kluwer, ul. Przyokopowa 33, 01-208 Warszawa","46523,52 zł","46523,52 zł","26 marca 2025 roku - dotyczy całego pakietu pranwego LEX","25 marca 2026 roku - dotyczy całego pakietu prawnego LEX"
"Miejskie Wodociągi i Kanalizacja w Bydgoszczy - Sp. z o.o.","Elementy Al funkcjonujące w ramach Systemu inteligentnego Sterowania Retencją Zbiornikową (SIS- RZ).","Zidentyfikowanie i wyeliminowanie potencjalnych błędów, odchyleń lub niespójności, które mogą zagrozić wiarygodności wyników lub wniosków wyciągniętych na podstawie przyjętych danych, w systemie centralnego sterowania układem sieci deszczowej obejmującym kilkadziesiąt zbiorników retencyjnych na terenie całej Bydgoszczy.","Podstawowym zadaniem systemu SIS-RZ jest optymalizacja funkcjonowania systemu kanalizacji
deszczowej i zbiorników retencyjnych oraz zapewnienie możliwości ponownego wykorzystania wód
opadowych lub roztopowych np. do podlewania zieleni miejskiej lub bezpiecznego jej odprowadzenia
do kanałów deszczowych minimalizując tym samym ryzyko lokalnych podtopień.
Aby to osiągnąć, System wykonuje szereg skomplikowanych zadań. Zbiera dane z setek czujników
zamontowanych w sieci kanalizacji deszczowej oraz na zbiornikach retencyjnych. Analizuje na bieżąco
cyfrowe prognozy pogody, monitoruje pomiary z deszczomierzy rozmieszczonych w różnych częściach
miasta, a także korzysta z cyfrowego modelu hydraulicznego całego systemu deszczowego. Na
podstawie tych informacji System może precyzyjnie sterować poziomem wody w zbiornikach, np.
utrzymując odpowiednią ilość wody do podlewania parków.
Gdy prognozy wskazują na nadchodzące opady, System analizuje, czy ich przyjęcie może spowodować
lokalne podtopienia. Jeśli istnieje takie ryzyko, zbiorniki są odpowiednio wcześniej opróżniane, dzięki
czemu mogą pełnić funkcję bufora i zapobiegać zalaniom.
Analiza wszystkich tych danych odbywa się na bieżąco, co kilka minut. Na podstawie wyników
podejmowane są decyzje o zdalnym sterowaniu wybranymi zbiornikami — np. o ich opróżnieniu lub
napetnieniu — w zależności od aktualnych warunków i prognoz.","System SIS-RZ wykorzystuje zaawansowany proces weryfikacji danych, jakie do niego spływają. Jego
celem jest zidentyfikowanie i wyeliminowanie potencjalnych błędów, odchyleń lub niespójności, które
mogą zagrozić wiarygodności wyników lub wniosków wyciągniętych na podstawie przyjętych danych.
W swoim działaniu SIS-RZ wykorzystuje sztuczną inteligencję, która wspomaga sterowanie układem
zbiorników. Al korzysta z cyfrowego modelu hydraulicznego sieci oraz uczy się na podstawie
rzeczywistych reakcji systemu na wydawane polecenia, co pozwala na coraz dokładniejsze i
skuteczniejsze zarządzanie retencją.","Nie przeprowadzono","Nie","Nie, z innych powodów.","Nie","https://mwik.bydgoszcz.pl/modernizacja-oczyszczalni-sciekow-kapusciska-ii-etap-oraz-wykonanie-inteligentnego-systemu-zarzadzania-sieciami-wod-kan/","Nie","DHI Polska Sp. z. o.o.","Elementy Al stanowią jedną z części składowych systemu SIS-RZ którego ogólny koszt wyniósł 4 978 000,00 zł netto. Elementy Al nie podlegały odrębnej ewidencji kosztowej.","Spółka nie prowadzi odrębnej ewidencji kosztowej dla elementów Al.","Od dnia wdrożenia systemu SIS-RZ w wersji 1, to jest od 15.12.2023 r.","Nie określono okresu obowiązywania licencji."
"Ministerstwo Finansów","Aplikacja OKO będąca elementem Systemu Krajowe Centrum RTG.","Rozwiązanie informatyczne dokonujące analizy zdjęć inspekcyjnych z wielkogabarytowych urządzeń RTG.","Na podstawie analizy obrazu RTG system informuje użytkownika o prawdopodobieństwie wystąpienia określonej klasy przedmiotów. Aplikacja OKO nie podejmuje decyzji i nie wyręcza operatora.","System analizy obrazów działa w oparciu o zastosowanie głębokiej sieci neuronowej, której zadaniem jest wykrywanie na zdjęciach inspekcyjnych wyuczonych klas przedmiotów, tzn. na zdjęciach wyszukiwane są fragmenty obrazu charakterystyczne dla wyuczonych wzorców. ","Nie przeprowadzono","Nie","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Aplikacja funkcjonuje w ramach wewnętrznego systemu informatycznego Krajowej Administracji Skarbowej, a dostęp do niej oraz do podręcznika dla użytkowników posiadają tylko funkcjonariusze Służby Celno-Skarbowej.","https://businessinsider.com.pl/technologie/nowe-technologie/sztuczna-inteligencja-w-ministerstwie-finansow/5rdhjp3  https://www.sejm.gov.pl/sejm9.nsf/InterpelacjaTresc.xsp?key=CSRDDH","Nie","TENSORFLIGHT POLAND Sp. z o.o.","Aplikacja OKO RTG została pozyskana w ramach konkursu organizowanego przez MF w ramach programu GOVTECH POLSKA. Na pozyskanie rozwiązania wydatkowano środki w wysokości 690 000,00 zł. Na niezbędny sprzęt komputerowy wydatkowano 430 000,00 zł.  Na rozwój aplikacji OKO zostały poniesione wydatki z budżetu państwa w wysokości 217 241,22 zł.","W ramach ogólnego utrzymania systemów informatycznych.","07.03.2020 r.","Bezterminowo"
"Ministerstwo Finansów","eMCeK: chatbot (Kaspro) oraz voicebot (Kasja)","Wirtualny Asystent.","a. voicebota w zakresie:
• automatycznego rozpoznania zapytania klienta;
• przekierowania klienta na odpowiednią kolejkę tematyczną do pracownika
obsługującego kanał telefoniczny;
b. chatbota Kaspro w zakresie:
• udzielania odpowiedzi na proste pytania z obszaru podatku od spadków i
darowizn, podatku od czynności cywilnoprawnych, usługi Twój e-PIT;
• automatycznego przekierowania klienta do pracownika obsługującego kanał
chat.
Ponadto Krajowa Administracja Skarbowa wykorzystuje uczenie maszynowe w
procesach analitycznych, które wspomaga jednostki KAS w działaniach
analitycznych.","w zakresie voicebota oraz chatbot","Nie przeprowadzono","Nie","Nie, z innych powodów."," Brak – użytkownicy nie konfigurują mechanizmu AI.","https://www.gov.pl/web/krmc/multikanalowe-centrum-komunikacji-emcekoraz oraz oficjalna strona producenta systemu - Alfavox","Nie","Alfavox","Łączny koszt zakupu systemu wraz z WAK, infrastruktury oraz przeprowadzenia audytu bezpieczeństwa i koszt rozwoju na dzień 20.03.2025r. - wyniósł 42 142 943 zł","Obecnie nie występują koszty związane z utrzymaniem – system objęty jest wsparciem gwarancyjnym.","Brak informacji","Brak informacji"
"Ministerstwo Rozwoju i Technologii","Wirtualny Urzędnik (WU) – tekstowy (Chatbot), głosowy (Voicebot) - oparty o NLP firmy InteliWISE S.A. ","Wirtualny Urzędnik, działający jako część Usługi MCP, której zakres obejmują w szczególności przyjmowanie zgłoszeń i udzielanie odpowiedzi przez WU oraz konsultantów Wykonawcy na pytania Klientów dotyczące kwestii związanych z użytkowaniem usług PIP, CEIDG i KRS oraz proaktywny kontakt i pomoc Klientom.  ","Wirtualny Urzędnik (WU) w ramach Centrum Pomocy Przedsiębiorcy - to jest rozwiązanie oparte na technologii NLP – Natural Language Processing dostawcy InteliWISE S.A. Rozwiązanie pracuje w kanale głosowym i tekstowym.  

System informatyczny którego funkcjonalności to m.in.  

    zdolny do semantycznej analizy pytań tekstowych,  

    prowadzący interakcje w postaci tekstu i głosu, udzielający odpowiedzi na podstawie zagadnień zgromadzonych w Bazie Wiedzy 

    zapewnia zautomatyzowane odpowiedzi na dane zapytania w trybie 24/7/365;  

    proaktywna pomoc Klientowi przez automatyczne wywołanie właściwego skryptu 

w określonych przypadkach, kierowanie bardziej złożonych spraw do obsługi przez CC (dla WU w wersji głosowej), LC lub do SOZ w sposób automatyczny (np. gdy nie zna odpowiedzi) lub wymuszony przez Klienta, dla wersji pisemnej WU ","Wirtualny Urzędnik (WU) w ramach Centrum Pomocy Przedsiębiorcy - to jest rozwiązanie oparte na technologii NLP – Natural Language Processing dostawcy InteliWISE S.A. Rozwiązanie pracuje w kanale głosowym i tekstowym.  

System informatyczny którego funkcjonalności to m.in.  

    zdolny do semantycznej analizy pytań tekstowych,  

    prowadzący interakcje w postaci tekstu i głosu, udzielający odpowiedzi na podstawie zagadnień zgromadzonych w Bazie Wiedzy 

    zapewnia zautomatyzowane odpowiedzi na dane zapytania w trybie 24/7/365;  

    proaktywna pomoc Klientowi przez automatyczne wywołanie właściwego skryptu 

w określonych przypadkach, kierowanie bardziej złożonych spraw do obsługi przez CC (dla WU w wersji głosowej), LC lub do SOZ w sposób automatyczny (np. gdy nie zna odpowiedzi) lub wymuszony przez Klienta, dla wersji pisemnej WU ","Ryzyko ograniczone","1. Ochrona danych i prywatność (zgodność z RODO)   InteliWISE GenAI stosuje ścisłe środki ochrony prywatności danych, zapewniając że:   Żadne dane klientów nie są przechowywane ani wykorzystywane do ponownego trenowania modelu.   System nie zachowuje ani nie przekazuje wrażliwych informacji poza wyznaczone środowisko klienta.   Obsługuje wdrożenia lokalne (on-premise) i w chmurze prywatnej, umożliwiając pełną kontrolę nad rezydencją danych.       2. Bezpieczeństwo i odporność    InteliWISE GenAI jest odporny na wrogie manipulacje, takie jak ataki wstrzykiwania promptów (prompt injection), zapewniając godne zaufania i bezpieczne odpowiedzi generowane przez AI.       3. Audytowalność i raportowanie zgodności    System zapewnia logowanie i monitorowanie dla organizacji, które wymagają ścieżek audytu dla zgodności z ramami zarządzania AI.   Na żądanie wszystkie logi mogą zostać wyłączone, co jest zgodne ze ścisłymi zasadami prywatności w fazie projektowania (privacy-by-design).       W szczególności, wobec całości zamówienia w ramach projektu, dostawca spełnia następujące wymagania;   Zamawiający posiada opcje monitorowania wolumenów interakcji konsultanta w ramach rozwiązań wspieranych modelem LLM i ma możliwość wyłączenia opcji korzystania z modelu LLM dla użytkownika po przekroczeniu limitów wykorzystania interakcji (rozumianych jako zapytania, wyświetlenia odpowiedzi)       Wszystkie transkrypty, logiki oraz dane użytkowników pozostają na serwerach kontrolowanych przez Wykonawcę. W chwili przesłania zapytania do modelu AI, dane trafiają do modelu obsługiwanego przez Wykonawcę, gdzie następuje analiza treści i generowanie odpowiedzi zwracanej do interfejsu systemu wywołującego (CRM) Zamawiającego.        Dane nie są używane do trenowania modeli AI. Dane nie są udostępniane podmiotom trzecim, klient pozostaje właścicielem wszystkich swoich danych przez cały proces. ","1) Nadzór człowieka i wytłumaczalność   Model nie działa autonomicznie w krytycznym podejmowaniu decyzji. Operatorzy ludzcy, tacy jak agenci usług IT, zachowują kontrolę nad wynikami generowanymi przez AI. Odpowiedzi mogą być audytowane, przeglądane i modyfikowane przez agentów przed wdrożeniem w krytycznych procesach.    2) Stronniczość i sprawiedliwość  Model został wytrenowany przy użyciu starannie wyselekcjonowanych zbiorów danych, zapewniając, że nie propaguje niesprawiedliwych uprzedzeń w swoich odpowiedziach.  Mechanizm ciągłego monitorowania pozwala klientom na walidację wyników i dostrajanie odpowiedzi zgodnie z wewnętrznymi politykami zgodności.  3) Audytowalność i raportowanie zgodności   System zapewnia logowanie i monitorowanie dla organizacji, które wymagają ścieżek audytu dla zgodności z ramami zarządzania AI.  Na żądanie wszystkie logi mogą zostać wyłączone, co jest zgodne ze ścisłymi zasadami prywatności w fazie projektowania (privacy-by-design).     W szczególności, wobec całości zamówienia w ramach projektu, dostawca spełnia następujące wymagania;  Zamawiający posiada opcje monitorowania wolumenów interakcji konsultanta w ramach rozwiązań wspieranych modelem LLM i ma możliwość wyłączenia opcji korzystania z modelu LLM dla użytkownika po przekroczeniu limitów wykorzystania interakcji (rozumianych jako zapytania, wyświetlenia odpowiedzi)     Wszystkie transkrypty, logiki oraz dane użytkowników pozostają na serwerach kontrolowanych przez Wykonawcę. W chwili przesłania zapytania do modelu AI, dane trafiają do modelu obsługiwanego przez Wykonawcę, gdzie następuje analiza treści i generowanie odpowiedzi zwracanej do interfejsu systemu wywołującego (CRM) Zamawiającego.      Dane nie są używane do trenowania modeli AI. Dane nie są udostępniane podmiotom trzecim, klient pozostaje właścicielem wszystkich swoich danych przez cały proces. ","Publiczne zasoby z instruktażem, m.in https://pomoc.inteliwise.com/ ","Publiczne zasoby informacji, w tym:    https://inteliwise.com/pl/egov-wirtualny-asystent/   https://wirtualny-urzednik.pl/ ","Nie","InteliWISE SA, NIP 525 23 23 343, posługujący się także markami handlowymi Matrix42 oraz Efecte  ","Komponent rozwiązania Wirtualny Urzędnik jest częścią całości zamówienia Centrum Pomocy, BDG-V.2610.36.2024.MB, Świadczenie usługi Multikanałowego Centrum Pomocy Przedsiębiorcy na potrzeby Punktu Informacji dla Przedsiębiorcy  ","Komponent rozwiązania Wirtualny Urzędnik jest częścią całości zamówienia Centrum Pomocy, BDG-V.2610.36.2024.MB, Świadczenie usługi Multikanałowego Centrum Pomocy Przedsiębiorcy na potrzeby Punktu Informacji dla Przedsiębiorcy  ","Luty 2025  ","Styczen 2027  "
"Urząd Miasta Poznania","Voicebot “e-konsultantka”","Rozpoznawanie sprawy (tematu) dzwoniącego oraz przekierowanie do właściwego konsultanta","System uruchamia się w momencie, gdy klient połączy się z infolinią. Na podstawie
wypowiedzianej przez niego frazy analizuje, jakiej sprawy dotyczy połączenie, a
następnie automatycznie kieruje rozmowę do odpowiedniego konsultanta. Dzięki temu
rozwiązaniu praca infolinii staje się bardziej efektywna – zmniejsza się liczba połączeń
wymagających ręcznego przekierowania, a klienci są obsługiwani szybciej i sprawniej.","W systemie wykorzystywana jest generatywna sztuczna inteligencja (GenAI). Gdy klient
wypowie frazę, której system nie potrafi jednoznacznie dopasować, uruchamiany jest
moduł GenAI. Analizuje on znaczenie wypowiedzi przy użyciu technik przetwarzania
języka naturalnego (NLP), w tym tokenizacji, i porównuje ją z innymi frazami dostępnymi
w systemie. Na podstawie znalezionych podobieństw semantycznych wybierana jest
odpowiednia kategoria sprawy, a połączenie zostaje przekierowane do właściwego
konsultanta.","Nie przeprowadzono","Nie","Nie, z innych powodów.","Nie","Organ nie posiada informacji","Nie","Alfavox Software Sp. z o.o.","1 132 830,00 zł brutto","2025 - 300 000,00 zł brutto 2026 - 715 000,00 zł brutto 2027 - 117 830,00 zł brutto","01.10.2025 r.","31.07.2028 r."
"Urząd Miejski Gminy Rawicz","System monitoringu wizyjnego - kamery DAHUA","Rozpoznawanie tablic rejestracyjnych","Monitoring wizyjny realizowany przez Urząd Miejski Gminy Rawicz","Rozpoznawanie tablic rejestracyjnych","Nie przeprowadzono","https://drive.proton.me/urls/PKN7PGQN9R#hCbBEtxvO0Ht","Nie, z innych powodów.","https://picloudmobile.dahuasecurity.com/?context=K%2F1040jiaEA5PbO5msN6Pw%3D%3D&languageId=2","Organ nie posiada informacji","Nie","DAHUA","76119,14","4000,00",,
